id_movies_views;movie_fk;user_fk;server_fk;duration;v_date
300;400;100;200;90.0;1988/11/06 00:00:00.000
301;401;101;201;110.0;1998/07/03 00:00:00.000
302;402;102;202;140.0;1985/08/08 00:00:00.000
303;403;103;203;90.0;1962/07/02 00:00:00.000
304;404;104;204;160.0;1969/01/27 00:00:00.000
305;405;105;205;120.0;1997/06/20 00:00:00.000
306;406;106;206;90.0;2005/06/26 00:00:00.000
307;407;107;207;90.0;1976/12/18 00:00:00.000
308;408;108;208;130.0;1982/08/18 00:00:00.000
309;409;109;209;180.0;2003/09/11 00:00:00.000
